SerialNumber,Test Pass/Fail Status,errCode,errStr,TesterID,config,timeStamp,TestTime,Failing Items,INIT::TSTR_SW,INIT::LIGHT_SOURCE,INIT::SPECTROMETER,INIT::CG_SN,UNIF::INT_AVG,UNIF::INT_PCT_MAX,UNIF::INT_PCT_MIN,UNIF::INT_DRK_PXL_CNT_PCT,UNIF::INT_HOT_PXL_CNT_PCT,UNIF::EXT_PCT_MAX,UNIF::EXT_PCT_MIN,UNIF::LF_INT_PCT_MAX,UNIF::LF_INT_PCT_MIN,UNIF::LF_INT_DRK_PXL_CNT_PCT,UNIF::LF_INT_HOT_PXL_CNT_PCT,UNIF::LF_EXT_PCT_MAX,UNIF::LF_EXT_PCT_MIN,UNIF::HF_INT_PCT_MAX,UNIF::HF_INT_PCT_MIN,UNIF::HF_INT_DRK_PXL_CNT_PCT,UNIF::HF_INT_HOT_PXL_CNT_PCT,UNIF::HF_EXT_PCT_MAX,UNIF::HF_EXT_PCT_MIN,T::TP1_XPOS,T::TP1_YPOS,T::TP1_APOS,T::TP1_T_PCT_400,T::TP1_T_PCT_410,T::TP1_T_PCT_420,T::TP1_T_PCT_450,T::TP1_T_PCT_500,T::TP1_T_PCT_550,T::TP1_T_PCT_600,T::TP1_T_PCT_650,T::TP1_T_PCT_700,T::TP1_T_PCT_750,T::TP1_T_PCT_800,T::TP1_T_PCT_850,T::TP1_T_PCT_900,T::TP1_T_PCT_950,T::TP1_T_PCT_1000,T::TP1_T_PCT_1050,T::TP1_T_PCT_1100,T::TP1_TILT_400,T::TP1_TILT_450,T::TP1_TILT_500,T::TP1_TILT_550,T::TP1_TILT_600,T::TP1_TILT_650,T::TP1_TILT_700,T::TP1_TILT_750,T::TP1_TILT_800,T::TP1_TILT_850,T::TP1_TILT_900,T::TP1_TILT_950,T::TP1_TILT_1000,T::TP1_TILT_1050,T::TP1_TILT_1100,T::TP2_XPOS,T::TP2_YPOS,T::TP2_APOS,T::TP2_T_PCT_400,T::TP2_T_PCT_410,T::TP2_T_PCT_420,T::TP2_T_PCT_450,T::TP2_T_PCT_500,T::TP2_T_PCT_550,T::TP2_T_PCT_600,T::TP2_T_PCT_650,T::TP2_T_PCT_700,T::TP2_T_PCT_750,T::TP2_T_PCT_800,T::TP2_T_PCT_850,T::TP2_T_PCT_900,T::TP2_T_PCT_950,T::TP2_T_PCT_1000,T::TP2_T_PCT_1050,T::TP2_T_PCT_1100,T::TP2_TILT_400,T::TP2_TILT_450,T::TP2_TILT_500,T::TP2_TILT_550,T::TP2_TILT_600,T::TP2_TILT_650,T::TP2_TILT_700,T::TP2_TILT_750,T::TP2_TILT_800,T::TP2_TILT_850,T::TP2_TILT_900,T::TP2_TILT_950,T::TP2_TILT_1000,T::TP2_TILT_1050,T::TP2_TILT_1100,T::TP3_XPOS,T::TP3_YPOS,T::TP3_APOS,T::TP3_T_PCT_400,T::TP3_T_PCT_410,T::TP3_T_PCT_420,T::TP3_T_PCT_450,T::TP3_T_PCT_500,T::TP3_T_PCT_550,T::TP3_T_PCT_600,T::TP3_T_PCT_650,T::TP3_T_PCT_700,T::TP3_T_PCT_750,T::TP3_T_PCT_800,T::TP3_T_PCT_850,T::TP3_T_PCT_900,T::TP3_T_PCT_950,T::TP3_T_PCT_1000,T::TP3_T_PCT_1050,T::TP3_T_PCT_1100,T::TP3_TILT_400,T::TP3_TILT_450,T::TP3_TILT_500,T::TP3_TILT_550,T::TP3_TILT_600,T::TP3_TILT_650,T::TP3_TILT_700,T::TP3_TILT_750,T::TP3_TILT_800,T::TP3_TILT_850,T::TP3_TILT_900,T::TP3_TILT_950,T::TP3_TILT_1000,T::TP3_TILT_1050,T::TP3_TILT_1100,T::TP4_XPOS,T::TP4_YPOS,T::TP4_APOS,T::TP4_T_PCT_400,T::TP4_T_PCT_410,T::TP4_T_PCT_420,T::TP4_T_PCT_450,T::TP4_T_PCT_500,T::TP4_T_PCT_550,T::TP4_T_PCT_600,T::TP4_T_PCT_650,T::TP4_T_PCT_700,T::TP4_T_PCT_750,T::TP4_T_PCT_800,T::TP4_T_PCT_850,T::TP4_T_PCT_900,T::TP4_T_PCT_950,T::TP4_T_PCT_1000,T::TP4_T_PCT_1050,T::TP4_T_PCT_1100,T::TP4_TILT_400,T::TP4_TILT_450,T::TP4_TILT_500,T::TP4_TILT_550,T::TP4_TILT_600,T::TP4_TILT_650,T::TP4_TILT_700,T::TP4_TILT_750,T::TP4_TILT_800,T::TP4_TILT_850,T::TP4_TILT_900,T::TP4_TILT_950,T::TP4_TILT_1000,T::TP4_TILT_1050,T::TP4_TILT_1100,T::TP5_XPOS,T::TP5_YPOS,T::TP5_APOS,T::TP5_T_PCT_400,T::TP5_T_PCT_410,T::TP5_T_PCT_420,T::TP5_T_PCT_450,T::TP5_T_PCT_500,T::TP5_T_PCT_550,T::TP5_T_PCT_600,T::TP5_T_PCT_650,T::TP5_T_PCT_700,T::TP5_T_PCT_750,T::TP5_T_PCT_800,T::TP5_T_PCT_850,T::TP5_T_PCT_900,T::TP5_T_PCT_950,T::TP5_T_PCT_1000,T::TP5_T_PCT_1050,T::TP5_T_PCT_1100,T::TP5_TILT_400,T::TP5_TILT_450,T::TP5_TILT_500,T::TP5_TILT_550,T::TP5_TILT_600,T::TP5_TILT_650,T::TP5_TILT_700,T::TP5_TILT_750,T::TP5_TILT_800,T::TP5_TILT_850,T::TP5_TILT_900,T::TP5_TILT_950,T::TP5_TILT_1000,T::TP5_TILT_1050,T::TP5_TILT_1100,T::T_PCT_STDEV_400,T::T_PCT_STDEV_450,T::T_PCT_STDEV_500,T::T_PCT_STDEV_550,T::T_PCT_STDEV_600,T::T_PCT_STDEV_650,T::T_PCT_STDEV_700,T::T_PCT_STDEV_750,T::T_PCT_STDEV_800,T::T_PCT_STDEV_850,T::T_PCT_STDEV_900,T::T_PCT_STDEV_950,T::T_PCT_STDEV_1000,T::T_PCT_STDEV_1050,T::T_PCT_STDEV_1100,POST::FDR_POST_RESULT,POST::FDR_POST_TIME,POST::FDR_CONFIRM_RESULT,POST::FDR_CONFIRM_TIME,,
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227
Upper Limit ----->,,,,,,,,,,,,ATTR,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.8,nan,nan,3.7,4.9,6.2,6.9,8.2,9.8,13.3,16.8,18.7,21.7,nan,nan,nan,nan,52,69,84,nan,117,144,177,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.8,nan,nan,3.7,4.9,6.2,6.9,8.2,9.8,13.3,16.8,18.7,21.7,nan,nan,nan,nan,52,69,84,nan,117,144,177,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.8,nan,nan,3.7,4.9,6.2,6.9,8.2,9.8,13.3,16.8,18.7,21.7,nan,nan,nan,nan,52,69,84,nan,117,144,177,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.8,nan,nan,3.7,4.9,6.2,6.9,8.2,9.8,13.3,16.8,18.7,21.7,nan,nan,nan,nan,52,69,84,nan,117,144,177,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.8,nan,nan,3.7,4.9,6.2,6.9,8.2,9.8,13.3,16.8,18.7,21.7,nan,nan,nan,nan,52,69,84,nan,117,144,177,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,20,nan,20,nan,20,nan,nan,nan,nan,nan,nan,nan,nan,1,nan,1,nan,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lower Limit ----->,,,,,,,,,,,,ATTR,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.9,nan,nan,1.8,2.4,3.1,3.3,3.7,4.6,6.4,8.7,9.7,11.2,nan,nan,nan,nan,23,49,72,nan,107,122,141,nan,0,nan,0,nan,0,nan,0,nan,nan,nan,0.9,nan,nan,1.8,2.4,3.1,3.3,3.7,4.6,6.4,8.7,9.7,11.2,nan,nan,nan,nan,23,49,72,nan,107,122,141,nan,0,nan,0,nan,0,nan,0,nan,nan,nan,0.9,nan,nan,1.8,2.4,3.1,3.3,3.7,4.6,6.4,8.7,9.7,11.2,nan,nan,nan,nan,23,49,72,nan,107,122,141,nan,0,nan,0,nan,0,nan,nan,nan,nan,nan,0.9,nan,nan,1.8,2.4,3.1,3.3,3.7,4.6,6.4,8.7,9.7,11.2,nan,nan,nan,nan,23,49,72,nan,107,122,141,nan,0,nan,0,nan,0,nan,0,nan,nan,nan,0.9,nan,nan,1.8,2.4,3.1,3.3,3.7,4.6,6.4,8.7,9.7,11.2,nan,nan,nan,nan,23,49,72,nan,107,122,141,nan,0,nan,0,nan,0,nan,0,nan,nan,-20,nan,-20,nan,-20,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,0,nan,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Measurement Unit ----->,,,,,,,sec,,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,px,px,px,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,px,px,px,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,px,px,px,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,px,px,px,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,px,px,px,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,,sec,,sec,,
20363272052HL9505,,,,,,,,,,,,,187.3706456,35.56393191,-83.50302836,25.77178873,24.20133282,35.56393191,-91.99426127,34.49649909,-36.87780136,25.50020264,23.554328,30.56921464,-69.23678509,14.41033936,-53.37162673,0.995765727,1.618763545,14.41033936,-53.37162673,1241.738858,962.4025714,-0.005082455,1.394156545,1.525675273,1.661624727,2.007375727,2.667048545,3.396733818,3.859187727,4.636520455,5.548712182,7.892273455,10.34330391,12.04740173,14.30302764,16.40991555,18.09738845,19.49452145,20.436133,41.04522155,59.09718573,78.51808291,100,113.6151849,136.4995242,163.3558044,232.3517317,304.5117909,354.6827586,421.0893499,483.1180281,532.7986006,573.9309971,601.6525655,1241.738858,962.4025714,-0.005082455,1.480149091,1.611251091,1.749687273,2.114141818,2.806027,3.560244273,4.048569182,4.862822455,5.809343545,8.198176909,10.69466891,12.45625136,14.74116591,16.90484073,18.626336,20.05653509,20.90581855,41.57306227,59.38201173,78.81540536,100,113.7159604,136.5870874,163.1728154,230.2706341,300.3922092,349.8713906,414.0502069,474.8235167,523.1769299,563.3482777,587.2007445,1241.738858,962.4025714,-0.005082455,1.464448545,1.599767727,1.742371091,2.106321364,2.801258273,3.568912818,4.056162545,4.871641818,5.829770909,8.226991636,10.73653645,12.53743355,14.80311736,16.99221318,18.66356155,20.12534227,21.07781273,41.03096564,59.01874745,78.49069145,100,113.6534251,136.50273,163.3498367,230.5210169,300.8397495,351.3000461,414.7867904,476.1259823,522.9579801,563.917031,590.6051302,1241.738858,962.4025714,-0.005082455,1.506935364,1.646030455,1.792010364,2.169838636,2.886611545,3.683244273,4.180608727,5.025601545,5.994332091,8.446876364,10.99173409,12.82612318,15.09951545,17.28496109,18.96583173,20.447076,21.40613273,40.912794,58.91114836,78.37157936,100,113.5036815,136.4452709,162.7463045,229.3329468,298.4256844,348.2295035,409.9523205,469.2875115,514.9229182,555.1392989,581.1775456,1241.738858,962.4025714,-0.005082455,1.487385545,1.628815909,1.776477364,2.150564727,2.864645455,3.653324182,4.153805545,4.982907455,5.959546182,8.393653273,10.91216136,12.71207145,15.01733109,17.154194,18.84326336,20.26841645,21.19266545,40.71307245,58.865699,78.41249791,100,113.7009832,136.3963152,163.1295083,229.7610044,298.7022066,347.9732443,411.0773259,469.5714999,515.8075616,554.821389,580.1226143,0.050898273,0.063654273,0.086465818,0.112767727,0.127204182,0.152061091,0.176639,0.218214273,0.252402273,0.300732727,0.31241,0.336780909,0.334395818,0.360681545,0.374582727,0,0,0,0,,
20363271645HL9502,,,,,,,,,,,,,176.044053,41.13202827,-78.36289727,23.93387118,29.92702173,39.892685,-92.35733182,32.92130455,-45.26161436,23.998822,27.64711473,22.43837936,-71.02991036,15.33707355,-56.13268427,1.326116727,0.526381727,15.33707355,-51.33000818,1212.231501,961.671803,-0.005576818,1.339719727,1.453347182,1.576594364,1.916377636,2.558787,3.281452636,3.736472636,4.509364273,5.411324545,7.727506,10.15075882,11.82733282,14.09241764,16.165126,17.85417809,19.23721918,20.16495,40.82669527,58.40028709,77.97754809,100,113.8669504,137.4203687,164.9069132,235.4914286,309.3387062,360.4315241,429.4595531,492.6238404,544.0966354,586.2445901,614.5183105,1212.231501,961.671803,-0.005576818,1.447569727,1.578985091,1.719555273,2.086547545,2.773033364,3.541694273,4.026821818,4.848750636,5.796716182,8.202707545,10.69321464,12.44812255,14.72941309,16.90936491,18.61562055,20.06819818,20.91665136,40.87167282,58.91407709,78.29742436,100,113.6979474,136.9056118,163.6718861,231.6055409,301.9261309,351.4757913,415.8896346,477.4409874,525.6179308,566.6320523,590.5953592,1212.231501,961.671803,-0.005576818,1.461916727,1.595581182,1.738243455,2.108949,2.808462091,3.586088636,4.074832818,4.901404091,5.866620091,8.285752364,10.80285636,12.60106691,14.86742336,17.052034,18.73341745,20.19855036,21.10718436,40.76615982,58.80924018,78.315603,100,113.6290345,136.6785015,163.5940178,231.0529313,301.2438023,351.3879977,414.5867309,475.5057567,522.3920732,563.2481247,588.5858099,1212.231501,961.671803,-0.005576818,1.521485364,1.660932636,1.806591182,2.197514727,2.924363091,3.737144909,4.239509273,5.092738909,6.080948091,8.560575,11.125897,12.98030018,15.25505955,17.45331445,19.14327409,20.62208091,21.57017518,40.71348173,58.80230782,78.25133109,100,113.4430854,136.2738703,162.7173545,229.0687908,297.7132402,347.3348749,408.2039905,467.0262616,512.2475115,551.8183205,577.1816517,1212.231501,961.671803,-0.005576818,1.662316909,1.808814,1.964695,2.373503273,3.145987545,4.005528273,4.532082364,5.428471182,6.458486727,9.025748636,11.626951,13.50263364,15.88166327,18.05392064,19.80555345,21.21786382,22.20507218,41.50075809,59.25579727,78.54145045,100,113.1463894,135.5255072,161.2406325,225.3339788,290.2756015,337.1030912,396.49947,450.7303633,494.4627989,529.7239656,554.3726862,0.119284455,0.167150818,0.215405545,0.266565182,0.292620364,0.337842818,0.385101273,0.478207455,0.545941273,0.623641091,0.661939636,0.697615091,0.717559636,0.731021545,0.763178818,0,0,0,0,,
